frequency,raw
20,5
20.2,4.982142857
20.4,4.964285714
20.61,4.946428571
20.81,4.928571429
21.02,4.910714286
21.23,4.892857143
21.44,4.875
21.66,4.857142857
21.87,4.839285714
22.09,4.821428571
22.31,4.803571429
22.54,4.785714286
22.76,4.767857143
22.99,4.75
23.22,4.732142857
23.45,4.714285714
23.69,4.696428571
23.92,4.678571429
24.16,4.660714286
24.4,4.642857143
24.65,4.625
24.89,4.607142857
25.14,4.589285714
25.39,4.571428571
25.65,4.553571429
25.91,4.535714286
26.16,4.517857143
26.43,4.5
26.69,4.482142857
26.96,4.464285714
27.23,4.446428571
27.5,4.428571429
27.77,4.410714286
28.05,4.392857143
28.33,4.375
28.62,4.357142857
28.9,4.339285714
29.19,4.321428571
29.48,4.303571429
29.78,4.285714286
30.08,4.267857143
30.38,4.25
30.68,4.232142857
30.99,4.214285714
31.3,4.196428571
31.61,4.178571429
31.93,4.160714286
32.24,4.142857143
32.57,4.125
32.89,4.107142857
33.22,4.089285714
33.55,4.071428571
33.89,4.053571429
34.23,4.035714286
34.57,4.017857143
34.92,4
35.27,3.982142857
35.62,3.964285714
35.97,3.946428571
36.33,3.928571429
36.7,3.910714286
37.06,3.892857143
37.43,3.875
37.81,3.857142857
38.19,3.839285714
38.57,3.821428571
38.95,3.803571429
39.34,3.785714286
39.74,3.767857143
40.14,3.75
40.54,3.732142857
40.94,3.714285714
41.35,3.696428571
41.76,3.678571429
42.18,3.660714286
42.6,3.642857143
43.03,3.625
43.46,3.607142857
43.9,3.589285714
44.33,3.571428571
44.78,3.553571429
45.23,3.535714286
45.68,3.517857143
46.13,3.5
46.6,3.482142857
47.06,3.464285714
47.53,3.446428571
48.01,3.428571429
48.49,3.410714286
48.97,3.392857143
49.46,3.375
49.96,3.357142857
50.46,3.339285714
50.96,3.321428571
51.47,3.303571429
51.99,3.285714286
52.51,3.267857143
53.03,3.25
53.56,3.232142857
54.1,3.214285714
54.64,3.196428571
55.18,3.178571429
55.74,3.160714286
56.29,3.142857143
56.86,3.125
57.42,3.107142857
58,3.089285714
58.58,3.071428571
59.16,3.053571429
59.76,3.035714286
60.35,3.017857143
60.96,3
61.57,2.982142857
62.18,2.964285714
62.8,2.946428571
63.43,2.928571429
64.07,2.910714286
64.71,2.892857143
65.35,2.875
66.01,2.857142857
66.67,2.839285714
67.33,2.821428571
68.01,2.803571429
68.69,2.785714286
69.37,2.767857143
70.07,2.75
70.77,2.732142857
71.48,2.714285714
72.19,2.696428571
72.91,2.678571429
73.64,2.660714286
74.38,2.642857143
75.12,2.625
75.87,2.607142857
76.63,2.589285714
77.4,2.571428571
78.17,2.553571429
78.95,2.535714286
79.74,2.517857143
80.54,2.5
81.35,2.482142857
82.16,2.464285714
82.98,2.446428571
83.81,2.428571429
84.65,2.410714286
85.5,2.392857143
86.35,2.375
87.22,2.357142857
88.09,2.339285714
88.97,2.321428571
89.86,2.303571429
90.76,2.285714286
91.66,2.267857143
92.58,2.25
93.51,2.232142857
94.44,2.214285714
95.39,2.196428571
96.34,2.178571429
97.3,2.160714286
98.28,2.142857143
99.26,2.125
100.25,2.107142857
101.25,2.089285714
102.27,2.071428571
103.29,2.053571429
104.32,2.035714286
105.37,2.017857143
106.42,2
107.48,1.982142857
108.56,1.964285714
109.64,1.946428571
110.74,1.928571429
111.85,1.910714286
112.97,1.892857143
114.1,1.875
115.24,1.857142857
116.39,1.839285714
117.55,1.821428571
118.73,1.803571429
119.92,1.785714286
121.12,1.767857143
122.33,1.75
123.55,1.732142857
124.79,1.714285714
126.03,1.696428571
127.29,1.678571429
128.57,1.660714286
129.85,1.642857143
131.15,1.625
132.46,1.607142857
133.79,1.589285714
135.12,1.571428571
136.48,1.553571429
137.84,1.535714286
139.22,1.517857143
140.61,1.5
142.02,1.482142857
143.44,1.464285714
144.87,1.446428571
146.32,1.428571429
147.78,1.410714286
149.26,1.392857143
150.75,1.375
152.26,1.357142857
153.78,1.339285714
155.32,1.321428571
156.88,1.303571429
158.44,1.285714286
160.03,1.267857143
161.63,1.25
163.24,1.232142857
164.88,1.214285714
166.53,1.196428571
168.19,1.178571429
169.87,1.160714286
171.57,1.142857143
173.29,1.125
175.02,1.107142857
176.77,1.089285714
178.54,1.071428571
180.32,1.053571429
182.13,1.035714286
183.95,1.017857143
185.79,1
187.65,0.9821428571
189.52,0.9642857143
191.42,0.9464285714
193.33,0.9285714286
195.27,0.9107142857
197.22,0.8928571429
199.19,0.875
201.18,0.8571428571
203.19,0.8392857143
205.23,0.8214285714
207.28,0.8035714286
209.35,0.7857142857
211.44,0.7678571429
213.56,0.75
215.69,0.7321428571
217.85,0.7142857143
220.03,0.6964285714
222.23,0.6785714286
224.45,0.6607142857
226.7,0.6428571429
228.96,0.625
231.25,0.6071428571
233.57,0.5892857143
235.9,0.5714285714
238.26,0.5535714286
240.64,0.5357142857
243.05,0.5178571429
245.48,0.5
247.93,0.4821428571
250.41,0.4642857143
252.92,0.4464285714
255.45,0.4285714286
258,0.4107142857
260.58,0.3928571429
263.19,0.375
265.82,0.3571428571
268.48,0.3392857143
271.16,0.3214285714
273.87,0.3035714286
276.61,0.2857142857
279.38,0.2678571429
282.17,0.25
284.99,0.2321428571
287.84,0.2142857143
290.72,0.1964285714
293.63,0.1785714286
296.57,0.1607142857
299.53,0.1428571429
302.53,0.125
305.55,0.1071428571
308.61,0.08928571429
311.69,0.07142857143
314.81,0.05357142857
317.96,0.03571428571
321.14,0.01785714286
324.35,0
327.59,-0.03191489362
330.87,-0.06382978723
334.18,-0.09574468085
337.52,-0.1276595745
340.9,-0.1595744681
344.3,-0.1914893617
347.75,-0.2234042553
351.23,-0.2553191489
354.74,-0.2872340426
358.28,-0.3191489362
361.87,-0.3510638298
365.49,-0.3829787234
369.14,-0.414893617
372.83,-0.4468085106
376.56,-0.4787234043
380.33,-0.5106382979
384.13,-0.5425531915
387.97,-0.5744680851
391.85,-0.6063829787
395.77,-0.6382978723
399.73,-0.670212766
403.72,-0.7021276596
407.76,-0.7340425532
411.84,-0.7659574468
415.96,-0.7978723404
420.12,-0.829787234
424.32,-0.8617021277
428.56,-0.8936170213
432.85,-0.9255319149
437.18,-0.9574468085
441.55,-0.9893617021
445.96,-1.021276596
450.42,-1.053191489
454.93,-1.085106383
459.48,-1.117021277
464.07,-1.14893617
468.71,-1.180851064
473.4,-1.212765957
478.13,-1.244680851
482.91,-1.276595745
487.74,-1.308510638
492.62,-1.340425532
497.55,-1.372340426
502.52,-1.404255319
507.55,-1.436170213
512.62,-1.468085106
517.75,-1.5
522.93,-1.531914894
528.16,-1.563829787
533.44,-1.595744681
538.77,-1.627659574
544.16,-1.659574468
549.6,-1.691489362
555.1,-1.723404255
560.65,-1.755319149
566.25,-1.787234043
571.92,-1.819148936
577.64,-1.85106383
583.41,-1.882978723
589.25,-1.914893617
595.14,-1.946808511
601.09,-1.978723404
607.1,-2.010638298
613.17,-2.042553191
619.3,-2.074468085
625.5,-2.106382979
631.75,-2.138297872
638.07,-2.170212766
644.45,-2.20212766
650.89,-2.234042553
657.4,-2.265957447
663.98,-2.29787234
670.62,-2.329787234
677.32,-2.361702128
684.1,-2.393617021
690.94,-2.425531915
697.85,-2.457446809
704.83,-2.489361702
711.87,-2.521276596
718.99,-2.553191489
726.18,-2.585106383
733.44,-2.617021277
740.78,-2.64893617
748.19,-2.680851064
755.67,-2.712765957
763.23,-2.744680851
770.86,-2.776595745
778.57,-2.808510638
786.35,-2.840425532
794.22,-2.872340426
802.16,-2.904255319
810.18,-2.936170213
818.28,-2.968085106
826.46,-3
834.73,-2.980327869
843.08,-2.960655738
851.51,-2.940983607
860.02,-2.921311475
868.62,-2.901639344
877.31,-2.881967213
886.08,-2.862295082
894.94,-2.842622951
903.89,-2.82295082
912.93,-2.803278689
922.06,-2.783606557
931.28,-2.763934426
940.59,-2.744262295
950,-2.724590164
959.5,-2.704918033
969.09,-2.685245902
978.78,-2.66557377
988.57,-2.645901639
998.46,-2.626229508
1008.44,-2.606557377
1018.53,-2.586885246
1028.71,-2.567213115
1039,-2.547540984
1049.39,-2.527868852
1059.88,-2.508196721
1070.48,-2.48852459
1081.19,-2.468852459
1092,-2.449180328
1102.92,-2.429508197
1113.95,-2.409836066
1125.09,-2.390163934
1136.34,-2.370491803
1147.7,-2.350819672
1159.18,-2.331147541
1170.77,-2.31147541
1182.48,-2.291803279
1194.3,-2.272131148
1206.25,-2.252459016
1218.31,-2.232786885
1230.49,-2.213114754
1242.8,-2.193442623
1255.22,-2.173770492
1267.78,-2.154098361
1280.45,-2.13442623
1293.26,-2.114754098
1306.19,-2.095081967
1319.25,-2.075409836
1332.45,-2.055737705
1345.77,-2.036065574
1359.23,-2.016393443
1372.82,-1.996721311
1386.55,-1.97704918
1400.41,-1.957377049
1414.42,-1.937704918
1428.56,-1.918032787
1442.85,-1.898360656
1457.28,-1.878688525
1471.85,-1.859016393
1486.57,-1.839344262
1501.43,-1.819672131
1516.45,-1.8
1531.61,-1.752631579
1546.93,-1.705263158
1562.4,-1.657894737
1578.02,-1.610526316
1593.8,-1.563157895
1609.74,-1.515789474
1625.84,-1.468421053
1642.1,-1.421052632
1658.52,-1.373684211
1675.1,-1.326315789
1691.85,-1.278947368
1708.77,-1.231578947
1725.86,-1.184210526
1743.12,-1.136842105
1760.55,-1.089473684
1778.15,-1.042105263
1795.94,-0.9947368421
1813.9,-0.9473684211
1832.03,-0.9
1850.36,-0.8526315789
1868.86,-0.8052631579
1887.55,-0.7578947368
1906.42,-0.7105263158
1925.49,-0.6631578947
1944.74,-0.6157894737
1964.19,-0.5684210526
1983.83,-0.5210526316
2003.67,-0.4736842105
2023.71,-0.4263157895
2043.94,-0.3789473684
2064.38,-0.3315789474
2085.03,-0.2842105263
2105.88,-0.2368421053
2126.94,-0.1894736842
2148.2,-0.1421052632
2169.69,-0.09473684211
2191.38,-0.04736842105
2213.3,0
2235.43,0
2257.78,0
2280.36,0
2303.17,0
2326.2,0
2349.46,0
2372.95,0
2396.68,0
2420.65,0
2444.86,0
2469.31,0
2494,0
2518.94,0
2544.13,0
2569.57,0
2595.27,0
2621.22,0
2647.43,0
2673.9,0
2700.64,0
2727.65,0
2754.93,0
2782.48,0
2810.3,0
2838.4,0
2866.79,0
2895.46,0
2924.41,0
2953.65,0
2983.19,0
3013.02,0
3043.15,0
3073.58,0
3104.32,0
3135.36,0
3166.72,0
3198.38,0
3230.37,0
3262.67,0
3295.3,0
3328.25,0
3361.53,0
3395.15,0
3429.1,0
3463.39,0
3498.03,0
3533.01,0.1275
3568.34,0.255
3604.02,0.3825
3640.06,0.51
3676.46,0.6375
3713.22,0.765
3750.36,0.8925
3787.86,1.02
3825.74,1.1475
3864,1.275
3902.64,1.4025
3941.66,1.53
3981.08,1.6575
4020.89,1.785
4061.1,1.9125
4101.71,2.04
4142.73,2.1675
4184.15,2.295
4226,2.4225
4268.26,2.55
4310.94,2.6775
4354.05,2.805
4397.59,2.9325
4441.56,3.06
4485.98,3.1875
4530.84,3.315
4576.15,3.4425
4621.91,3.57
4668.13,3.6975
4714.81,3.825
4761.96,3.9525
4809.58,4.08
4857.67,4.2075
4906.25,4.335
4955.31,4.4625
5004.87,4.59
5054.91,4.7175
5105.46,4.845
5156.52,4.9725
5208.08,5.1
5260.16,4.8
5312.77,4.5
5365.89,4.2
5419.55,3.9
5473.75,3.6
5528.49,3.3
5583.77,3
5639.61,2.7
5696,2.4
5752.96,2.1
5810.49,1.8
5868.6,1.5
5927.28,1.2
5986.56,0.9
6046.42,0.6
6106.89,0.3
6167.96,0
6229.64,0
6291.93,0
6354.85,0
6418.4,0
6482.58,0
6547.41,0
6612.88,0
6679.01,0
6745.8,0
6813.26,0
6881.39,0
6950.21,0
7019.71,0
7089.91,0
7160.81,0
7232.41,0
7304.74,0
7377.79,0
7451.56,0
7526.08,0
7601.34,0
7677.35,0
7754.13,0
7831.67,0
7909.98,0
7989.08,0
8068.98,0
8149.67,0
8231.16,0
8313.47,0
8396.61,0
8480.57,0
8565.38,0
8651.03,0
8737.54,0
8824.92,0
8913.17,0
9002.3,0
9092.32,0
9183.25,0
9275.08,0
9367.83,0
9461.51,0
9556.12,0
9651.68,0
9748.2,0
9845.68,0
9944.14,0
10043.58,0
10144.02,0
10245.46,0
10347.91,0
10451.39,0
10555.91,0
10661.46,0
10768.08,0
10875.76,0
10984.52,0
11094.36,0
11205.31,-0.5454545455
11317.36,-1.090909091
11430.53,-1.636363636
11544.84,-2.181818182
11660.29,-2.727272727
11776.89,-3.272727273
11894.66,-3.818181818
12013.6,-4.363636364
12133.74,-4.909090909
12255.08,-5.454545455
12377.63,-6
12501.41,-6.2
12626.42,-6.4
12752.68,-6.6
12880.21,-6.8
13009.01,-7
13139.1,-7.2
13270.49,-7.4
13403.2,-7.6
13537.23,-7.8
13672.6,-8
13809.33,-8.2
13947.42,-8.4
14086.9,-8.6
14227.77,-8.8
14370.04,-9
14513.74,-8.636363636
14658.88,-8.272727273
14805.47,-7.909090909
14953.52,-7.545454545
15103.06,-7.181818182
15254.09,-6.818181818
15406.63,-6.454545455
15560.7,-6.090909091
15716.3,-5.727272727
15873.47,-5.363636364
16032.2,-5
16192.52,-4.333333333
16354.45,-3.666666667
16517.99,-3
16683.17,-3
16850.01,-3
17018.51,-3
17188.69,-3
17360.58,-3
17534.18,-3
17709.53,-3
17886.62,-3
18065.49,-3
18246.14,-3
18428.6,-3
18612.89,-3
18799.02,-3
18987.01,-3
19176.88,-3
19368.65,-3
19562.33,-3
19757.96,-3
19955.54,-3